Sample	Condition	Dataset
Exp056609	Tumor	PXD042844
Exp056611	Tumor	PXD042844
Exp056613	Tumor	PXD042844
Exp056615	Tumor	PXD042844
Exp056617	Tumor	PXD042844
Exp056619	Tumor	PXD042844
Exp056621	Tumor	PXD042844
Exp056623	Tumor	PXD042844
Exp056625	Tumor	PXD042844
Exp056627	Tumor	PXD042844
Exp056629	Tumor	PXD042844
Exp056631	Tumor	PXD042844
Exp056633	Tumor	PXD042844
Exp056635	Tumor	PXD042844
Exp056637	Tumor	PXD042844
Exp056639	Tumor	PXD042844
Exp056641	Tumor	PXD042844
Exp056643	Tumor	PXD042844
Exp056645	Tumor	PXD042844
Exp056647	Tumor	PXD042844
Exp056649	Tumor	PXD042844
Exp056745	Tumor	PXD042844
Exp056651	Tumor	PXD042844
Exp056653	Tumor	PXD042844
Exp056749	Tumor	PXD042844
Exp056751	Tumor	PXD042844
Exp057069	Tumor	PXD042844
Exp057071	Tumor	PXD042844
Exp057073	Tumor	PXD042844
Exp057075	Tumor	PXD042844
Exp057077	Tumor	PXD042844
Exp057079	Tumor	PXD042844
Exp057081	Tumor	PXD042844
Exp057083	Tumor	PXD042844
Exp057085	Tumor	PXD042844
Exp057087	Tumor	PXD042844
Exp057089	Tumor	PXD042844
Exp057091	Tumor	PXD042844
Exp057093	Tumor	PXD042844
Exp057095	Tumor	PXD042844
Exp057097	Tumor	PXD042844
Exp057099	Tumor	PXD042844
Exp057101	Tumor	PXD042844
Exp057103	Tumor	PXD042844
Exp056656	Normal	PXD042844
Exp056658	Normal	PXD042844
Exp056660	Normal	PXD042844
Exp056662	Normal	PXD042844
Exp056664	Normal	PXD042844
Exp056666	Normal	PXD042844
Exp056668	Normal	PXD042844
Exp056670	Normal	PXD042844
Exp056672	Normal	PXD042844
Exp056558	Normal	PXD042844
Exp056716	Normal	PXD042844
Exp056718	Normal	PXD042844
Exp056560	Normal	PXD042844
Exp056674	Normal	PXD042844
Exp056562	Normal	PXD042844
Exp056676	Normal	PXD042844
Exp056678	Normal	PXD042844
Exp056680	Normal	PXD042844
Exp056682	Normal	PXD042844
Exp056684	Normal	PXD042844
Exp056686	Normal	PXD042844
Exp056688	Normal	PXD042844
Exp056690	Normal	PXD042844
Exp056564	Normal	PXD042844
Exp056720	Normal	PXD042844
Exp056692	Normal	PXD042844
Exp056694	Normal	PXD042844
Exp056696	Normal	PXD042844
Exp056566	Normal	PXD042844
Exp056748	Normal	PXD042844
Exp056698	Normal	PXD042844
Exp056700	Normal	PXD042844
Exp056702	Normal	PXD042844
Exp056704	Normal	PXD042844
Exp056706	Normal	PXD042844
Exp056722	Normal	PXD042844
Exp056724	Normal	PXD042844
Exp056568	Normal	PXD042844
Exp056572	Normal	PXD042844
Exp056726	Normal	PXD042844
Exp056728	Normal	PXD042844
Exp056730	Normal	PXD042844
Exp056574	Normal	PXD042844
Exp056708	Normal	PXD042844
Exp056732	Normal	PXD042844
Exp056576	Normal	PXD042844
Exp056734	Normal	PXD042844
Exp056710	Normal	PXD042844
Exp056736	Normal	PXD042844
Exp056738	Normal	PXD042844
Exp056740	Normal	PXD042844
Exp056712	Normal	PXD042844
Exp056578	Normal	PXD042844
Exp056742	Normal	PXD042844
Exp056714	Normal	PXD042844
Exp056580	Normal	PXD042844
Exp056582	Normal	PXD042844
Exp056584	Normal	PXD042844
Exp056586	Normal	PXD042844
Exp056588	Normal	PXD042844
Exp056590	Normal	PXD042844
Exp056592	Normal	PXD042844
Exp056594	Normal	PXD042844
Exp056744	Normal	PXD042844
Exp056596	Normal	PXD042844
Exp056598	Normal	PXD042844
Exp056600	Normal	PXD042844
Exp056602	Normal	PXD042844
Exp056604	Normal	PXD042844
Exp056606	Normal	PXD042844
Exp056608	Normal	PXD042844
Exp056610	Normal	PXD042844
Exp056612	Normal	PXD042844
Exp056614	Normal	PXD042844
Exp056616	Normal	PXD042844
Exp056618	Normal	PXD042844
Exp056620	Normal	PXD042844
Exp056622	Normal	PXD042844
Exp056624	Normal	PXD042844
Exp056626	Normal	PXD042844
Exp056628	Normal	PXD042844
Exp056630	Normal	PXD042844
Exp056632	Normal	PXD042844
Exp056634	Normal	PXD042844
Exp056636	Normal	PXD042844
Exp056638	Normal	PXD042844
Exp056640	Normal	PXD042844
Exp056642	Normal	PXD042844
Exp056644	Normal	PXD042844
Exp056646	Normal	PXD042844
Exp056648	Normal	PXD042844
Exp056650	Normal	PXD042844
Exp056746	Normal	PXD042844
Exp056652	Normal	PXD042844
Exp056654	Normal	PXD042844
Exp056750	Normal	PXD042844
Exp056752	Normal	PXD042844
Exp057070	Normal	PXD042844
Exp057072	Normal	PXD042844
Exp057074	Normal	PXD042844
Exp057076	Normal	PXD042844
Exp057078	Normal	PXD042844
Exp057080	Normal	PXD042844
Exp057082	Normal	PXD042844
Exp057084	Normal	PXD042844
Exp057086	Normal	PXD042844
Exp057088	Normal	PXD042844
Exp057090	Normal	PXD042844
Exp057092	Normal	PXD042844
Exp057094	Normal	PXD042844
Exp057096	Normal	PXD042844
Exp057098	Normal	PXD042844
Exp057100	Normal	PXD042844
Exp057102	Normal	PXD042844
