"s.2"	"s.8"	"s.43"	"s.61"	"s.66"	"s.68"	"s.70"	"s.71"	"s.72"	"s.79"	"s.116"	"s.130"	"s.145"	"s.148"	"s.149"	"s.150"	"s.174"	"s.191"	"s.197"	"s.209"	"s.214"	"s.225"	"s.240"	"s.276"	"s.277"	"s.279"	"s.282"	"s.299"	"s.308"	"s.318"	"s.323"	"s.325"	"s.350"	"s.391"	"s.402"	"s.456"	"s.460"	"s.511"	"s.525"	"s.557"
"prt11"	3.85458880399551	3.28523389289274	3.54042220499459	NA	NA	3.47050211851633	3.58169185102002	4.62571421590811	3.40171136466094	2.76342628150193	1.36129570363487	5.83186374613507	1.16111001174089	2.59334372568188	2.73125725407863	1.90231938161646	1.23792107067785	0.875027864542165	3.3187086529452	3.13158176383189	4.21540565397392	NA	4.03543985545761	3.02058774513474	0.202570272278254	2.11781903699967	2.90971826125289	1.86958623790552	3.95024634025628	1.08448951776613	2.20415440466881	4.44441097975492	3.08483686974778	1.13084865187938	1.46415415243931	2.9186496556409	2.98956730124425	NA	-0.778038537578018	1.57709929096419
"prt12"	NA	-3.5083576008383	-0.490229090163448	1.1666695809376	-0.612031400045121	NA	1.3701331935748	-0.827472969200307	0.227813115481946	-1.49451525764165	-1.40699040582717	-0.261321228178825	-0.327989420095926	2.36128367138372	NA	3.10290964499929	0.436522839324216	-1.43078758069079	2.68025513141862	1.38962220854275	-0.626179347555138	0.208645384602216	NA	1.61611649265511	-3.26391041500275	-1.15518634509146	-1.87731284526725	0.867940292338101	NA	-1.38808597571601	3.29560883519683	-2.28360257744369	NA	1.0906709685009	-2.64947182793004	-2.6353798772648	-0.320569198265884	NA	-1.82281615345029	-1.60001055597468
"prt13"	-0.0232551976773863	-0.416366895315336	0.963861207225602	2.2393977357673	1.58107427942449	-0.996493177574875	3.87534640192782	0.759021245831801	-1.44012236853223	2.19972319292512	1.99845198143082	1.82051118986021	NA	NA	-0.566948334562405	-0.253399004569752	1.99811277634267	0.245749458417452	NA	NA	NA	2.6816441576191	1.21042602471625	0.882885065784272	1.37204576371441	-0.0853738068122754	1.07331698736187	3.22742125918661	2.45954171537989	1.79379098707244	-0.906910174593186	2.18396134339808	1.18219148164835	-0.329407871315582	-0.315471293246463	1.39052638188295	-0.676035154094605	-0.96368329244374	1.67439044161516	NA
"prt14"	-0.656124510989137	-3.54786018804585	-1.59030859397871	NA	NA	-2.2145983638179	-0.592449921877073	0.405167718727523	NA	1.13169174086272	1.33851262208269	-0.0516492721481812	-2.32163159882156	-2.53726531741253	1.24207390895188	0.666224187322155	1.41050275487179	NA	-0.10358666938327	-0.823902396150913	-0.653606721902529	-1.13609194041849	0.150949021648869	1.38658304795885	-0.815230795924905	-2.68383961835787	0.596279595865369	-2.02416805518186	-0.409594115713434	1.61451492757873	0.693802830590058	NA	-0.0642355647414828	-0.102039167358836	-0.0722948160151945	NA	-0.55945445902841	0.699963456521577	-1.54704263943125	-0.124675274906262
"prt15"	2.67336897880607	0.496927905390444	1.97729138405842	5.33030577657567	6.71397188715989	2.84259561532051	4.08086308067967	3.29919266505763	4.23619651670444	3.97555192459872	NA	6.4318033729961	1.58403253373694	2.96935527287009	4.94856456196487	3.13115728368238	3.44379810570617	-1.4502663945409	NA	-1.25643971564445	5.27965071802064	-0.244241220671156	0.220377423543091	1.411452678268	2.55246486185139	4.1657385852564	3.23748697289146	6.17195729675823	NA	3.00382687910406	0.117559144200178	NA	0.96916412266732	3.41157712611411	3.13352724943801	0.257397047591184	-1.50933885097934	1.44043828674079	3.29417996642582	-0.715945159824873
"prt16"	NA	-0.742794682625364	NA	-2.28919327004153	-0.341996972177077	-3.45928448664701	-0.515159267811708	-2.48965946036822	NA	-2.3279432845966	NA	-1.3738585802911	-1.08998627043755	0.306358126001876	0.268839701918319	-1.51019085350623	NA	-1.53639762454951	-2.72806864958941	NA	-0.744270667362629	-1.06406483344003	0.281691961987396	-2.1547858574171	-1.39487207220898	0.403337461634698	-1.38122752923409	NA	NA	-1.33637587268025	-1.23421579408515	-1.23357761622975	-0.637097377310599	-0.0561938589593193	-2.42257054234651	NA	-2.42740317906402	-2.49242149718788	-1.34351504967304	-1.85030617116405
"prt17"	1.66724078583062	-1.61840595299527	1.72118701318207	2.2151706904106	2.64530422366714	3.38856694065742	1.73613495256701	1.90819382072567	0.666117062557121	3.50217290204982	2.35089530428133	3.12482368167094	-0.556620243076869	3.21574318863375	NA	2.78073724663313	3.94551828463382	4.07948690596133	NA	3.84232018602026	0.483558062543507	2.86121439702683	1.71469214427623	3.19531561209634	2.51742236996674	2.54773482389659	0.553105862219517	4.47711449583894	3.20202753870895	1.17041413876133	0.655497607649628	1.89020282815326	0.487183111967733	1.45597285452255	1.0963446542578	-1.19246975861068	2.52435803763135	2.20965006827936	NA	-0.224702601341708
"prt18"	-0.508844811509452	-0.761678001914943	-1.36311806173329	-1.29163955610582	-1.26144859403767	-4.1353102381659	3.59975130355164	0.105996246360696	NA	0.436056054781854	0.922770616153552	-1.00893993861852	-0.452350590274133	-0.5900090492079	-0.633729227700928	0.383870114503343	-2.01207829145309	1.41876189199674	-0.135028927691081	1.1461709667457	0.769016650386504	0.18178444125014	0.879582566611969	1.4276679489389	3.06448427173718	3.0777514655236	NA	2.52030589596002	0.947104629524026	NA	3.11004905858181	NA	0.692743793961508	3.23982509707668	1.58577141425208	NA	NA	2.82352880640811	-0.686683030953088	-1.04072444167142
"prt19"	1.14135224734227	-3.54178988217874	-1.45158792135499	0.303476175809469	0.843263154802408	-2.69814948151244	2.18509076687927	-0.236787422665108	-3.07267960346162	-0.125108096156741	1.25818456241633	-0.107552572014251	-0.0362766083084362	-0.642889176587371	4.93195109159236	5.10697736474184	3.61784325498134	1.6136581635547	NA	-0.863022910939197	4.09777070720424	5.90237223463166	0.402367115540526	-1.17504425488782	-2.53505361659319	3.31885261691401	4.57078964022364	-0.633100031324082	NA	-1.41777957823162	-2.7089790078385	-1.75005855325045	-1.07462593905774	NA	-0.647121501908863	-1.54931998537494	-0.211696304903374	1.24944097780271	-1.96578388454545	-2.07644795850496
"prt20"	-2.65063153682151	0.464258685407575	-3.14955627061268	NA	-1.65443458736058	-3.20355164100982	2.38912202590878	-3.49247213029636	0.250470135179145	-3.09538699855712	-1.06868612875243	NA	NA	-0.728015763361032	NA	-1.88769414518302	-0.1854878632115	2.86414901009648	NA	NA	4.22488019641971	-2.48814846556739	-6.24877525991944	NA	NA	1.21820840072929	-1.46113636353229	1.36540285985025	-1.26589967190415	0.346938319363579	-2.16646588767312	1.45908590612103	2.34153280847089	-2.54075071694469	NA	1.39707454055519	NA	1.11756276233893	-0.975166136273511	-3.12683589211077
"prt21"	0.806236378418333	2.03383154335105	6.21345475511771	-0.120860699181748	0.344593873021596	5.68188586758961	NA	4.90587110877179	5.23415349349792	7.45169389055799	4.67299183623243	5.19747463711535	NA	2.5480153045798	1.52644095082398	7.69373050730863	1.94501164058199	1.06410568089254	4.87562574632812	5.73061560310431	5.87425888637155	9.03610979660138	2.06530642298567	3.52627583420598	6.57475012764945	5.10742037184703	8.49684133989328	1.77841243564309	5.66826366484012	NA	0.362221960417315	3.35531341003134	8.15293677132893	NA	3.27456761385737	1.75450637910266	3.22599874418388	4.06331018605817	NA	-1.23325400094859
"prt22"	6.96343999230088	3.82540381206202	3.23885190472306	-1.45654664701212	5.09650278931156	3.92196152468398	3.67163210178026	6.86060508603835	5.96337420382186	4.30268787640377	6.34198922696148	8.82782213498826	6.80837661858868	0.959862922146719	0.598936216807363	5.81250960193946	2.70081504235157	2.82707740335706	8.04718243549199	4.69945058645959	3.14173059135261	6.96181922403762	3.27278677660732	0.234871506528573	5.21579299769744	3.84934028279191	3.08606346038522	2.37363624419421	4.66368803247248	5.37495726969906	8.10692719157176	5.22110595918234	6.09021632322038	1.49436873359615	2.78067420287916	0.138269770597056	7.60508446531465	2.20561091172187	3.38425583206545	NA
"prt23"	NA	-0.102743954378308	NA	0.0127392773563171	0.273720375027361	2.02034888576156	0.71956014158135	1.0879593154077	-0.696136783338579	-1.88840538091343	3.37697743257573	NA	3.30850523863814	2.07471277622103	0.0139184754414511	0.402175620068519	-5.08478294147685	-4.02082914078433	1.22398785431866	-1.21547077003518	-0.947712269225943	-0.0844218356480282	4.3950199272944	NA	NA	0.83068950647078	0.504041712470362	1.69972997496576	0.872118363356555	-2.43009157226609	4.09870319088723	-3.43799570896119	2.10965093240955	NA	-1.50267281044054	-0.685139178265413	NA	NA	0.437437190586071	-0.779438650874944
"prt24"	NA	NA	-1.09894963812275	-1.68283718586592	NA	NA	-0.099078951653726	2.04837278657979	4.36804746827158	-4.2146848063295	NA	0.715873584611078	-0.0150384934645754	1.85576130797662	0.263127118001293	-0.536114326168874	-0.522788049257566	0.59784540639263	-1.87880160643331	NA	-4.88505215752272	NA	-4.0598484507226	1.57212619522403	6.26217865275906	-5.54729923919666	NA	3.99558122922728	NA	-0.045691934633145	-0.497388671641376	-3.57221443874218	-4.47395339542383	NA	-1.01113303938915	-4.11857836965937	0.823380057190417	5.20410317198228	NA	NA
"prt25"	3.77981522412011	3.28253978767809	8.81714235429712	10.1745616292472	6.750430985864	14.5607231194126	NA	7.91485724584076	8.99535293547648	6.83573782942496	NA	8.85020647730457	9.18892409365221	10.3436084052915	10.3378063033591	5.40965190946976	NA	6.75378302311419	11.3636427122642	5.5944919066251	4.93549197333984	7.92577737368495	6.32753285706576	5.28525514273456	NA	8.16124452117381	13.7005181059875	NA	9.02996585134586	9.71292451715863	7.3498744500016	6.03362231499145	1.58400231206479	8.09505375226615	10.2297507117621	7.20596634539431	6.04816384441204	8.27098513009594	8.60375388880182	NA
"prt26"	NA	-1.68364988243128	NA	-0.658381458131442	2.84759972663271	-0.458715702680559	-0.30444923396045	1.49120709489138	0.713369014745997	-0.480990819653097	0.420125386395583	-2.39929932330648	NA	0.29506195281534	-1.08709829365173	-3.63455564648324	-0.870963223858738	-0.392016249706959	-1.29811001893025	-1.26259923830299	0.980438213792147	-5.01505874639678	NA	0.151750589155603	-0.0704327323557628	-0.266656983176026	0.148252484623655	-0.662232328593405	-2.7720519129296	0.478437956514581	-0.41760435122678	-1.42117123522248	-1.24983872733301	-1.98890138995347	-0.505982475319071	-1.85986612949885	-2.00410146534782	-4.01337774094262	NA	-3.80162241785548
"prt27"	1.05091090599421	3.09400859727012	3.6796142554042	2.79008667557005	-0.374511493553143	3.54364087551098	-0.663485385443606	3.80121695789605	-0.531190497822335	2.38761966622457	0.75643802617396	3.84736651754455	-0.306843530382039	0.501151120816966	NA	0.693562365265063	NA	NA	-0.545205864947802	0.869903407208416	4.25182442891597	2.04507445153621	NA	1.64218983582257	2.85464246411004	2.02820407545094	4.06478947921383	1.23689436954575	2.0117535130401	2.14935326790925	2.15317573499611	NA	2.14804279472642	1.37194121822867	2.32234412694323	1.29245482845163	4.34917252371175	-0.639779688868746	0.571591962762708	1.42352934510172
"prt28"	3.84046395658833	3.71071013107666	3.39495035838666	1.76161762394189	4.24250491034312	2.5621612367263	1.64578084136722	2.50634416522607	2.03244266952253	4.61194909464293	3.69525125872479	4.38540990007286	-0.853953867073687	NA	2.50527841927331	3.0167947862628	2.75741110341579	1.46992918346222	4.50971116176971	2.13040852769754	3.15335063140312	5.07287124066694	0.7093757530077	3.11705297264185	3.93792294323225	3.5170564189469	5.36358438749208	0.427031892685973	2.42168421588455	NA	1.36983451181938	2.96469655064258	-0.21290833383405	-0.598755618763633	1.08210230521031	1.26030505211328	NA	NA	3.99303696191662	1.26785335226981
"prt29"	2.72975541949521	2.71353526810112	4.09782816029013	2.81056442783205	NA	4.47569828890532	4.00194448271163	5.65826249627113	1.42937085116352	5.12542213882956	NA	5.06285435579356	1.92772363890114	7.48042971616244	NA	5.79578714839149	9.12581773648241	2.03441703401417	5.5325102333367	3.46983196694846	NA	8.07956288916459	5.96290667814689	2.56009873432841	2.04266235513015	4.33658897695694	4.65686154537188	2.82751864084308	6.54790972821118	NA	NA	3.48198624983105	4.03621759172085	-1.01305146197709	2.31429824701212	-1.09229114214494	6.2270172760548	3.62329246177127	NA	3.23675644613401
"prt30"	0.751338393583536	-0.160512931327518	NA	-1.84346102445347	2.89655390056615	-0.731716994271808	0.890687873493521	1.66866990224455	-0.938134606019755	-1.31793226811364	1.39137730510347	-0.0251233728434415	0.132747241010915	-1.45681420346245	-0.978052718310397	-0.0847276037334982	1.45472423438995	-0.771659555663517	0.437090174131699	-0.584905336840287	0.882778753849585	0.57523025824051	NA	-2.00904224071134	0.536075277071782	-0.849493384151119	0.624113989759705	-1.84265185802265	-1.73518523468851	0.730907539198629	-0.888019692665955	-1.57290445812633	NA	-0.125032776370198	-0.878316669714064	-2.99224006843285	-2.43262540320168	-3.5217173943779	-2.98911830809596	-1.20038490790874
"prt31"	-0.376324013893228	-1.89426114657741	-0.0347945050383041	NA	1.53694622177952	1.20816606427232	0.0825876427038949	0.629010867250017	NA	-1.48926422024827	NA	NA	-2.60220064435	0.23478275423873	0.217647422132116	1.24938960524744	-1.70145951401039	-1.48856989841453	0.130998064620836	-2.05027865199215	-0.938678707166581	NA	-1.53075360084014	0.338979275037671	-2.65345190268908	-0.104886185250856	-1.09172803481362	-2.31794089690649	-0.0485831541188937	-0.272977233682712	-0.760560967474581	NA	-0.425545512096398	-1.37206452591954	-1.40694477624225	NA	-1.1028286764593	-2.50322072524198	-2.2826317157015	-1.62333931719867
"prt32"	NA	3.84611145751796	2.94962918210069	NA	1.81699346935166	0.0204543659971268	2.94835082435745	2.52761506746342	3.97349676057737	NA	-0.484739176671554	NA	3.31459861352339	NA	0.0524082907333232	1.37913785487772	2.10055679651834	-0.687973330005805	3.01621826940329	-2.07740039210439	3.50521571257492	0.415805615271695	0.367295592184515	2.9386699092386	2.28611663455569	NA	3.06973869532331	3.61223427103954	4.28032880587753	2.65857585422648	3.50482687358973	2.23812515634274	NA	4.22735899068152	NA	1.01521578659234	1.41402211548931	1.4841168060839	1.56659193287065	2.80678413594772
"prt33"	NA	-2.76227722676321	0.00342147515787877	-2.57453446099435	NA	-0.725989737866437	NA	-3.40481401593138	NA	-1.15526908641617	-0.51729754183225	-3.7714045821342	-1.32772583165402	NA	0.764058740840474	-1.43999138576203	NA	0.925233003672484	3.01365154888825	-1.7625531347541	NA	-2.49988483422183	-1.59211211463405	-1.00742033515966	NA	-1.86626497815226	-4.43201545980066	-0.891588153008729	NA	-0.318184570765071	-2.38764684979992	0.847201118333326	NA	NA	-4.6714205108992	-4.4348848564954	-1.68108266602574	NA	NA	-2.00171746868447
"prt34"	5.68723206302237	4.0958393075633	3.72099122188174	5.18648986532398	5.02383620520252	2.84727932726681	2.3677346291423	4.48800610458051	NA	4.97944579474033	NA	NA	3.15587829953318	6.11530445523013	4.33486170211327	4.26867180920611	3.62561400421128	1.88998843790829	1.96369196151609	3.7042991265751	3.50950671748133	6.35538975046151	5.27865178257216	3.37957887184144	NA	4.06817398465622	5.29611543799806	5.35857139748456	5.99128835605111	3.57393070111738	4.76318422654828	NA	NA	4.24292905641896	2.76693382585793	5.39703741619653	5.9404314570338	4.16028589471174	4.9675586440627	5.51348827411325
"prt35"	4.84829624097008	6.21305676328977	2.42312626126236	4.6296533098376	3.99166881795922	5.18452901793363	4.63255867420509	NA	5.15097846112318	NA	1.65290049337014	7.28464109483135	3.76695706757704	5.06637143178812	4.65778805467647	3.33796716727056	6.44601106276419	NA	5.12733968090728	4.6104952328472	7.91712260898291	4.26138852884025	1.316527969445	3.42211488363918	7.83540467814001	2.34009348682803	5.79566025808987	4.27741484900753	6.41451385790005	4.57668768325038	3.40571333905065	2.82980242186526	2.94303488334676	5.44748016557361	4.07212083112284	NA	4.30126928229262	5.59315407338295	-0.137533587576413	5.46297462298241
"prt36"	1.75915750215882	2.04847449111266	NA	0.703303285146458	-0.815508438832555	-2.38188296945685	2.52349608138615	2.3907791038728	1.19361107870969	-2.50525243269035	1.23708844721023	2.02076416456385	-1.1357235721376	NA	-1.5419864542835	-0.831418365424392	NA	3.95291415664511	2.60713835595884	0.207045832209737	NA	NA	-2.21900407861749	0.801613353823767	2.97798885894331	3.29869068438301	1.96971127449022	0.565487294773552	0.597588625522968	0.82811891192693	-0.994457675574234	-1.90778422789906	NA	2.13185463715894	1.94737051980883	-2.80891691968603	NA	NA	0.0526641650590167	NA
"prt37"	-1.46807194296968	1.06789350899069	1.75544311906582	0.757101006137586	1.1436135023677	3.87459274097918	1.39943162833265	2.17125607562714	1.93555109371692	3.12840659056714	2.54575272938724	2.88711953151512	1.06328889484515	4.66461360318391	NA	1.023131178117	0.839210524395793	5.20635398456067	1.94268720414808	4.44440786321044	2.59100702723104	0.753402924942383	2.5725664479029	NA	NA	NA	2.29369695940327	2.89487650148541	4.20188272283302	2.50524191240712	-1.65566304274729	0.620745546129189	3.74929450465384	0.548986915479185	1.47136938208397	0.281951050150531	0.188163458192922	-0.0301404330230692	3.32107150971712	4.21761274224847
"prt38"	4.33764213677261	NA	-0.261822035478151	-2.03402219155692	1.82873102395026	NA	-0.0394294487057143	3.36583619300273	NA	0.5423255189268	5.61777195181569	1.27350952505798	0.762054507061584	NA	NA	2.75571700680937	0.834553498156914	7.03175005451653	1.99750855290877	5.52840452849286	1.50010695787558	NA	1.59020849929508	NA	3.61726848821368	NA	0.494040830840939	2.76848722159432	6.00196655538415	5.49615420435384	2.12319907596473	1.9377282487743	2.67290641331891	5.24617727658142	NA	1.32329476484369	3.77303260316976	NA	4.61058664251609	2.28646299543226
"prt39"	0.614590863146158	-0.159504451116425	0.916013848164535	0.979857790279102	0.822488273989642	-1.9910819784124	0.255404187114287	0.039383575481219	0.199934074451656	-0.522994234176257	NA	-1.10941882746529	-0.986486317678836	NA	-2.37966539138482	0.120524332115283	1.89459797806969	-0.515421170941138	1.16233754462021	-0.707445199846156	2.22643735128232	0.331976841594552	NA	NA	0.576597582819279	NA	-0.459653590003092	1.22571817252145	-0.901726925646841	NA	0.0920172052556608	0.0305398933588779	0.302926231410166	NA	0.339844179615559	-2.74270035294789	-2.17851756162262	-0.418409464962692	-1.0746221167324	-0.787587319030303
"prt40"	-0.333535135574074	-1.08384109496381	NA	-2.81776227136902	-2.66093493416602	0.0349219048663361	NA	NA	-0.126908053464295	-1.09960376169565	NA	1.48272551250959	-0.770661795034572	-1.61776556127503	-0.990067450927281	NA	-0.54743439402312	-1.81346351769424	-0.19640954890786	-1.43231117640762	NA	0.486418446506358	-1.10476609656512	0.231273674703589	-0.151252906104856	-1.66053139148393	-0.344001656778758	NA	-1.70533792376876	NA	0.104479790143524	-1.21812954589033	-3.68021913562591	-1.64006620662076	-2.67902533141917	-3.64636401058335	-2.66052568499622	-1.01875538022799	NA	NA
"prt41"	4.45167702011495	2.25288269330859	3.85599704020803	1.40177364339734	3.85593218192004	6.76820364138248	0.8476695919863	3.15527546890643	5.71262518548641	6.39529995916701	5.04578709191255	3.93715481031994	2.4889796901798	1.96778028409726	5.49599248936189	4.7084598934978	6.81843247630318	4.58276971392534	0.821125445394435	-0.970017952535031	8.73984214318141	5.31162529087919	NA	5.39822085897071	2.501153286702	-0.929454675921924	1.6609087302219	6.25562319256245	3.14829671675033	6.15105723649226	3.52939223287301	2.91050071145256	1.74179747893366	0.299918197246654	NA	3.20863339200509	NA	NA	NA	-0.348680255064604
"prt42"	NA	1.47886275775666	0.758070749437506	0.469325203709456	0.887218805538441	-0.552068735808014	2.05169310619464	-1.61302052728137	1.01757450497185	-1.72122756344822	NA	1.13431834754979	1.79283325284299	-1.97849818344875	-0.11928387718082	1.73373699827243	1.23822498336369	0.149653997862693	0.895648620225403	1.00913489549002	-0.489079878144987	0.191500739763556	1.31852391044337	0.58075439194314	1.13390027661659	0.620123234022313	3.04503996700587	0.183262531654337	0.687537858464965	1.20299964987996	-0.240616459446942	0.609072539684158	-1.28333264003078	0.656308300424022	NA	1.63456187044069	-0.969889210710126	-0.389855263454051	0.372787332173653	NA
"prt43"	-1.31729171911361	-0.444869825163588	-0.414042899850885	-0.0699691961250989	-1.75915222804242	NA	-3.09143075790264	0.938953635418463	1.4757347206338	2.23229204504508	1.36022856762966	-0.158742267279155	3.18063012194952	0.589925462662143	-1.61830628738898	NA	0.183629472882374	1.61942051244499	0.404878192018223	-0.0680425099695946	NA	-0.0725053981703487	-0.0901089643238885	-0.384188062605405	NA	1.53813188259674	-0.660083465494049	0.76824253148366	-0.113224173883991	1.71029418889951	0.0668984380981886	0.425296482386697	-0.123770345795542	NA	0.27905129437215	-2.30077310707677	-0.370792289000672	-1.46223321295099	-1.137408014259	-2.85171513598252
"prt44"	NA	6.00463269994258	3.78440825815044	NA	NA	0.933477326126236	2.53976678953031	0.35342859150805	2.00490237883484	NA	3.57322998311217	NA	-3.12865078435088	-0.923152753920905	-1.78102115552074	0.668799157577957	1.23808808374292	0.271755056690083	NA	NA	2.47535825381318	2.69977536040303	-0.421258803441444	0.607272995345653	-0.4953373961493	1.24135224613319	NA	0.535373314435314	2.50961518127591	-0.26949469736512	-0.493233145504228	-1.94332071973782	2.55643145902132	0.938960303830922	1.79932319524222	NA	-2.08152092590467	NA	NA	-2.61327828596191
